Pos	Slit	X	Y	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
35	1	154.22	19.6	604R1_778-137140.xlsx	6556.76	0.12	1.064	0.229	36.49	7.692	41.33	8.919	6543.054	0.552	3.184	1.407	4.243	1.503	14.38	5.77	6578.554	0.552	3.184	1.407	12.73	4.51	43.14	17.31	6710.814	0.117	0.876	0.218	10.63	4.741	9.917	4.862	6725.214	0.117	0.876	0.218	17.79	5.391	16.6	4.729
36	1	152.87	19.6	604R1_778-141144.xlsx	6556.98	0.113	1.094	0.227	40.12	8.124	46.71	9.735	6548.428	1.786	13.355	2.919	3.322	0.8763	47.23	15.6	6583.928	1.786	13.355	2.919	9.967	2.629	141.7	46.81	6710.64	0.327	2.303	0.759	12.47	3.611	30.57	9.197	6725.04	0.327	2.303	0.759	-0.3922	0.7332	-0.9615	-1.862
37	1	151.53	19.6	604R1_778-145148.xlsx	6556.938	0.129	1.036	0.384	31.8	8.653	35.07	9.967	6546.774	1.53	11.403	2.741	2.887	0.8177	35.04	12.15	6582.274	1.53	11.403	2.741	8.661	2.453	105.1	36.45	6709.065	0	0.161	0.092	-326.2	1155	-55.82	-165.9	6723.465	0	0.161	0.092	12.51	20.16	2.14	2.701
38	1	150.19	19.6	604R1_778-149152.xlsx	6556.689	0.125	1.23	0.278	44.71	8.114	58.53	10.9	6541.574	0.292	1.536	0.719	5.835	2.265	9.543	3.859	6577.074	0.292	1.536	0.719	17.51	6.794	28.63	11.58	6710.849	0.089	0.743	0.155	24	5.955	18.97	4.487	6725.249	0.089	0.743	0.155	14.46	5.438	11.43	4.643
39	1	148.85	19.6	604R1_778-153156.xlsx	6556.604	0.134	1.209	0.331	35.45	7.946	45.63	10.73	6548.04	2.267	12.383	3.15	2.418	0.8708	31.87	13.33	6583.54	2.267	12.383	3.15	7.254	2.612	95.61	39.98	6710.833	0.079	0.826	0.154	20.14	4.772	17.7	4.889	6725.233	0.079	0.826	0.154	22.23	5.472	19.55	4.259
40	1	147.51	19.6	604R1_778-157160.xlsx	6556.848	0.085	0.812	0.227	52.21	10.44	45.13	9.307	6546.801	1.256	12.719	2.283	4.003	0.8394	54.19	14.27	6582.301	1.256	12.719	2.283	12.01	2.518	162.6	42.82	6711.689	0.492	4.044	1.121	7.262	2.141	31.26	12.54	6726.089	0.492	4.044	1.121	8.571	2.573	36.89	9.992
41	1	146.17	19.6	604R1_778-161164.xlsx	6556.867	0.061	0.678	0.16	63.51	11.7	45.86	8.116	6541.603	0.231	1.245	0.479	6.604	2.389	8.751	3.248	6577.103	0.231	1.245	0.479	19.81	7.167	26.25	9.743	6710.74	0.129	-0.703	0.18	16.7	5.793	-12.5	-4.672	6725.14	0.129	-0.703	0.18	12.63	6.362	-9.451	-4.552
42	1	144.83	19.6	604R1_778-165168.xlsx	6556.792	0.046	0.78	0.124	73.97	9.646	61.4	8.343	6543.714	1.401	9.234	4.226	4.004	0.9479	39.35	17.06	6579.214	1.401	9.234	4.226	12.01	2.844	118.1	51.18	6710.689	0.099	0.717	0.171	15.65	4.359	11.95	4.042	6725.089	0.099	0.717	0.171	10.34	5.193	7.893	3.319
43	1	143.49	19.6	604R1_778-169172.xlsx	6556.771	0.041	0.926	0.096	94.17	8.71	92.8	8.814	6545.537	1.563	11.762	2.816	3.279	0.8664	41.05	13.62	6581.037	1.563	11.762	2.816	9.836	2.599	123.1	40.87	6710.829	0.241	1.365	0.622	12.29	4.408	17.86	6.762	6725.229	0.241	1.365	0.622	2.199	6.56	3.195	8.801
44	1	142.15	19.6	604R1_778-173176.xlsx	6556.704	0.042	0.97	0.099	101.4	8.936	104.7	9.4	6541.777	0.193	1.265	0.572	8.248	2.687	11.11	3.878	6577.277	0.193	1.265	0.572	24.74	8.06	33.33	11.63	6710.665	0.052	0.729	0.115	31.4	4.813	24.38	3.941	6725.064	0.052	0.729	0.115	21.54	4.653	16.72	3.529
45	1	140.81	19.6	604R1_778-177180.xlsx	6556.538	0.046	1.154	0.103	118.2	8.863	145.2	11.12	6541.835	0.144	0.953	0.327	10.03	2.984	10.17	3.15	6577.335	0.144	0.953	0.327	30.08	8.952	30.5	9.45	6710.476	0.072	0.727	0.232	29.83	6.748	23.09	4.826	6724.876	0.072	0.727	0.232	12.65	4.554	9.787	4.316
46	1	139.46	19.6	604R1_778-181184.xlsx	6556.321	0.027	1.25	0.062	180	7.932	239.5	10.78	6541.476	0.142	1.279	0.273	10.97	2.382	14.94	3.312	6576.976	0.142	1.279	0.273	32.9	7.147	44.81	9.936	6710.384	0.051	1.066	0.121	30.28	4.226	34.34	4.507	6724.784	0.051	1.066	0.121	35.23	4.017	39.96	5.054
47	1	138.12	19.6	604R1_778-185188.xlsx	6556.207	0.018	1.264	0.038	313.4	8.155	421.7	11.24	6541.454	0.077	1.302	0.162	20.89	2.448	28.95	3.501	6576.954	0.077	1.302	0.162	62.67	7.345	86.86	10.5	6710.209	0.052	1.42	0.133	50.42	4.279	76.23	6.583	6724.609	0.052	1.42	0.133	28.24	3.749	42.7	5.998
48	1	136.78	19.6	604R1_778-189192.xlsx	6556.161	0.016	1.413	0.037	305.5	7.272	459.3	11.2	6541.513	0.08	1.297	0.189	19.35	2.445	26.72	3.501	6577.013	0.08	1.297	0.189	58.06	7.334	80.16	10.5	6710.291	0.04	1.275	0.102	50.1	3.819	67.98	5.47	6724.69	0.04	1.275	0.102	38.19	3.694	51.82	5.048
49	1	135.44	19.6	604R1_778-193196.xlsx	6556.18	0.023	1.515	0.047	282.7	8.023	455.8	13.26	6541.395	0.084	1.246	0.19	20.7	2.823	27.47	3.869	6576.895	0.084	1.246	0.19	62.11	8.469	82.41	11.61	6710.182	0.059	1.555	0.131	43.38	4.033	71.81	7.018	6724.582	0.059	1.555	0.131	36.12	4.003	59.8	6.677
50	1	134.10	19.6	604R1_778-197200.xlsx	6556.241	0.015	1.481	0.036	362.6	7.638	571.7	12.37	6541.399	0.07	1.404	0.163	24.45	2.481	36.53	3.854	6576.899	0.07	1.404	0.163	73.34	7.442	109.6	11.56	6710.128	0.032	1.309	0.077	63.24	3.825	88.15	5.615	6724.528	0.032	1.309	0.077	52.23	3.765	72.81	5.282
51	1	132.76	19.6	604R1_778-201204.xlsx	6556.394	0.007	1.24	0.017	768.6	8.937	1014	12.07	6541.566	0.025	0.935	0.064	59.66	3.33	59.38	3.414	6577.066	0.025	0.935	0.064	179	9.989	178.1	10.24	6710.348	0.02	1.163	0.048	138.2	5.195	171.1	6.646	6724.748	0.02	1.163	0.048	89.24	4.766	110.5	6.04
52	1	131.42	19.6	604R1_778-205208.xlsx	6556.464	0.004	0.997	0.009	1769	12.7	1877	13.74	6541.643	0.014	0.852	0.035	124.9	4.341	113.2	4.045	6577.143	0.014	0.852	0.035	374.7	13.02	339.7	12.14	6710.468	0.01	0.909	0.02	291.1	6.106	281.6	6.133	6724.868	0.01	0.909	0.02	197.8	5.765	191.4	5.584
53	1	130.08	19.6	604R1_778-209212.xlsx	6556.428	0.002	0.974	0.005	2407	10.72	2496	11.32	6541.588	0.009	0.854	0.022	163	3.607	148.2	3.365	6577.088	0.009	0.854	0.022	489.1	10.82	444.7	10.09	6710.431	0.007	0.949	0.015	355.5	5.263	359.2	5.462	6724.831	0.007	0.949	0.015	233.1	4.877	235.5	5.003
54	1	128.74	19.6	604R1_778-213216.xlsx	6556.47	0.002	0.941	0.006	2163	11.43	2165	11.64	6541.625	0.012	0.821	0.03	128.6	3.898	112.4	3.503	6577.125	0.012	0.821	0.03	385.9	11.69	337.2	10.51	6710.483	0.007	0.868	0.016	310.1	5.307	286.6	4.958	6724.883	0.007	0.868	0.016	206.5	4.844	190.9	4.622
55	1	127.40	19.6	604R1_778-217220.xlsx	6556.479	0.002	0.865	0.005	2259	11.91	2079	11.13	6541.615	0.01	0.741	0.023	149.3	4.011	117.8	3.267	6577.115	0.01	0.741	0.023	447.8	12.03	353.4	9.8	6710.479	0.006	0.781	0.014	332.8	5.83	276.7	4.914	6724.879	0.006	0.781	0.014	242	5.471	201.3	4.642
56	1	126.05	19.6	604R1_778-221224.xlsx	6556.461	0.003	0.901	0.009	2027	16.99	1944	16.56	6541.645	0.019	0.796	0.046	118.1	5.697	100	4.968	6577.145	0.019	0.796	0.046	354.2	17.09	300	14.9	6710.471	0.01	0.831	0.022	279.3	7.151	247.2	6.498	6724.871	0.01	0.831	0.022	205.1	6.78	181.6	6.068
57	1	124.71	19.6	604R1_778-225228.xlsx	6556.549	0.003	-0.9	0.007	2403	15.08	-2303	-14.69	6541.667	0.016	0.798	0.039	119	4.991	101	4.361	6577.167	0.016	0.798	0.039	357	14.97	303.1	13.08	6710.584	0.009	0.847	0.019	254.6	5.638	229.6	5.121	6724.984	0.009	0.847	0.019	183.4	5.202	165.3	4.849
58	1	123.37	19.6	604R1_778-229232.xlsx	6556.584	0.003	0.943	0.007	2469	15.14	2479	15.46	6541.73	0.013	0.823	0.033	152.2	5.158	133.3	4.639	6577.23	0.013	0.823	0.033	456.6	15.47	400	13.92	6710.633	0.007	0.856	0.016	339.1	6.038	309.1	5.675	6725.033	0.007	0.856	0.016	241	5.709	219.6	5.237
59	1	122.03	19.6	604R1_778-233236.xlsx	6556.548	0.003	-0.921	0.009	2715	22.27	-2661	-22.2	6541.729	0.016	0.729	0.04	179	7.968	139	6.374	6577.229	0.016	0.729	0.04	537	23.9	417	19.12	6710.589	0.008	0.799	0.02	367.8	8.963	312.7	7.697	6724.989	0.008	0.799	0.02	260.9	8.275	221.8	7.218
60	1	120.69	19.6	604R1_778-237240.xlsx	6556.604	0.007	0.946	0.017	2379	33.61	2395	34.51	6541.717	0.043	0.855	0.134	109.1	12.12	99.23	11.43	6577.217	0.043	0.855	0.134	327.3	36.36	297.7	34.29	6710.516	0.018	1.178	0.059	236.5	9.184	296.7	12.02	6724.916	0.018	1.178	0.059	161.7	8.16	202.8	10.7
61	1	119.35	19.6	604R1_778-241244.xlsx	6556.702	0.011	1.059	0.026	1948	36.07	2195	41.66	6541.806	0.057	1.051	0.154	104.3	11.52	116.7	13.42	6577.306	0.057	1.051	0.154	313	34.56	350.2	40.27	6710.633	0.017	1.202	0.05	253	8.82	323.7	11.5	6725.033	0.017	1.202	0.05	171.9	7.766	219.9	10.59
62	1	118.01	19.6	604R1_778-245248.xlsx	6556.798	0.005	0.963	0.014	2089	24.03	2142	25.13	6541.942	0.033	0.964	0.086	109.1	7.691	112	8.16	6577.442	0.033	0.964	0.086	327.3	23.07	335.9	24.48	6710.688	3.143	-265.259	0	407.7	0	-115100	0	6725.088	3.143	-265.259	0	378.8	603.2	-107000	-194200
63	1	116.67	19.6	604R1_778-249252.xlsx	6556.857	0.008	1.126	0.025	1353	23.9	1621	29.35	6541.919	0.063	1.155	0.147	65.24	7.161	80.21	9.084	6577.419	0.063	1.155	0.147	195.7	21.48	240.6	27.25	6710.8	0.018	1.249	0.041	148.6	4.807	197.6	6.526	6725.2	0.018	1.249	0.041	106.9	4.475	142.1	6.179
64	1	115.33	19.6	604R1_778-253256.xlsx	6557.049	0.004	0.888	0.01	1521	14.87	1438	14.31	6542.181	0.022	0.793	0.057	86.13	5.051	72.7	4.343	6577.681	0.022	0.793	0.057	258.4	15.15	218.1	13.03	6711.048	0.012	0.809	0.023	225	6.239	193.9	5.526	6725.448	0.012	0.809	0.023	154.2	5.851	132.8	5.085
65	1	113.99	19.6	604R1_778-257260.xlsx	6557.034	0.004	0.903	0.01	1737	15.96	1670	15.6	6542.17	0.02	0.803	0.051	103.2	5.466	88.22	4.772	6577.67	0.02	0.803	0.051	309.7	16.4	264.6	14.32	6711.094	0.008	0.793	0.017	267.4	5.642	225.8	4.895	6725.494	0.008	0.793	0.017	186.3	5.314	157.3	4.537
66	1	112.64	19.6	604R1_778-261264.xlsx	6557.058	0.006	0.902	0.015	1646	23.18	1580	22.64	6542.21	0.031	0.794	0.077	98.6	7.949	83.35	6.843	6577.71	0.031	0.794	0.077	295.8	23.85	250	20.53	6711.089	0.01	0.826	0.021	250.4	6.084	220	5.418	6725.489	0.01	0.826	0.021	175.3	5.623	154.1	5.091
