Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL			
57	134.4576	22	1	595a1_880-225228.xlsx	4857.616	0.388	1.943	0.609	8.391	2.948	17.35	6.027	4953.21	0.147	0.256	0.205	4.481	3.295	1.22	1.161	5001.84	0.147	0.256	0.205	13.44	9.884	3.659	3.482			
58	133.0272	22	1	595a1_880-229232.xlsx	4857.968	0.198	0.871	0.341	13.84	5.075	12.84	4.749	4956.172	0.115	0.179	0.13	11.69	21.82	2.226	4.738	5004.802	0.115	0.179	0.13	35.07	65.47	6.678	14.21			
59	131.5968	22	1	595a1_880-233236.xlsx	4856.361	0	-0.284	0.205	-27.22	42.69	8.224	7.381	4953.126	0.277	-1.041	0.386	-2.539	1.15	2.815	1.342	5001.756	0.277	-1.041	0.386	-7.618	3.45	8.444	4.027			
60	130.1664	22	1	595a1_880-237240.xlsx	4827.78	28.458	896.705	19.346	23.98	0	22890	0	4954.744	0.852	3.859	1.304	1.567	0.6155	6.438	2.559	5003.374	0.852	3.859	1.304	4.702	1.847	19.31	7.677			
61	128.736	22	1	595a1_880-241244.xlsx	4858.818	0.207	0.893	0.511	9.692	4.816	9.214	4.789	4954.401	0.934	2.517	1.257	1.274	0.764	3.414	2.264	5003.031	0.934	2.517	1.257	3.822	2.292	10.24	6.791			
62	127.3056	22	1	595a1_880-245248.xlsx	4871.61	6.114	19.361	13.596	1.803	1.021	37.17	22.53	4960.865	0.824	1.953	0.905	-1.161	0.675	-2.414	-1.543	5009.495	0.824	1.953	0.905	-3.484	2.025	-7.243	-4.629			
63	125.8752	22	1	595a1_880-249252.xlsx	4857.508	0.586	2.122	2.742	6.373	5.042	14.39	10.76	4953.907	0.103	0.695	0.249	6.724	1.991	4.977	1.342	5002.537	0.103	0.695	0.249	20.17	5.974	14.93	4.027			
64	124.4448	22	1	595a1_880-253256.xlsx	4861.146	0.389	2.041	0.754	8.543	3.241	18.56	6.839	4951.403	1.993	9.095	3.398	1.194	0.5599	11.56	4.862	5000.033	1.993	9.095	3.398	3.581	1.68	34.67	14.59			
65	123.0144	22	1	595a1_880-257260.xlsx	4857.007	0.103	0.793	0.21	17.97	4.818	15.17	4.148	4954.094	0.07	0.473	0.099	11.13	1.827	5.609	1.199	5002.724	0.07	0.473	0.099	33.39	5.48	16.83	3.596			
66	121.584	22	1	595a1_880-261264.xlsx	4857.6	0.134	0.942	0.335	15.96	4.898	16	4.817	4953.719	0.127	0.785	0.254	5.382	1.573	4.495	1.357	5002.349	0.127	0.785	0.254	16.14	4.718	13.49	4.07			
