RA	DE	Hbeta	RVHbeta	SigmHbeta	[OIII]4959	RV[OIII]4959	Sigm[OIII]4959	[OIII]5007	RV[OIII]5007	Sigm[OIII]5007
52.9248	19.6	03.39E+01	0260.01 	0	1.21E+00	0266.48 	41.60421325	3.62E+00	0286.0235974	40.66664298
51.4944	19.6	3.33E+00	0562.15 	73.90572655	02.28E+01	0311.82 	0	06.85E+01	0330.9205623	0
50.064	19.6	1.07E+01	0323.29 	0	1.13E+00	0376.45 	104.4039994	3.39E+00	0394.9137029	103.1722216
48.6336	19.6	02.66E+01	0801.13 	0	6.12E+00	0653.39 	6.761261386	1.84E+01	0669.1443642	1.181394682
47.2032	19.6	08.32E+00	 23.19 	28.97770199	01.86E+00	0194.90 	61.91802981	05.57E+00	0215.1462556	60.95701276
45.7728	19.6	3.90E+00	0238.24 	39.00275405	01.01E+00	0244.23 	155.5786292	03.02E+00	0263.9941534	153.9153788
44.3424	19.6	1.08E+01	0197.35 	11.01321035	02.60E+00	0350.94 	66.24203265	07.80E+00	0369.6516773	65.26201543
42.912	19.6	06.06E+00	0202.53 	61.31776324	2.42E+00	0197.81 	0	7.25E+00	0218.079524	0
41.4816	19.6	02.51E+01	0325.32 	0	3.21E+00	0193.45 	22.55711109	9.63E+00	0213.7095527	21.34212278
40.0512	19.6	01.91E+01	0350.18 	0	5.49E+00	0787.60 	0	1.65E+01	0802.0393802	0
38.6208	19.6	01.74E+00	0267.97 	66.32887735	08.36E+00	0337.58 	0	02.51E+01	0356.481901	0
37.1904	19.6	5.09E+00	0351.17 	36.70787967	06.29E+01	0333.65 	0	01.89E+02	0352.5309681	0
35.76	19.6	1.15E+01	0394.52 	8.767318957	01.73E+00	01,390.93 	52.24091234	05.19E+00	01399.468326	51.30828648
34.3296	19.6	6.39E+00	0323.54 	39.69502316	05.48E001	01,119.49 	66.82763567	01.64E+00	01130.685163	65.84481156
32.8992	19.6	3.18E+00	0215.24 	136.3792476	03.11E+00	0313.94 	19.1130818	09.33E+00	0333.015754	17.74168733
31.4688	19.6	1.18E+01	0282.15 	0	03.18E+00	0199.80 	15.25808604	09.55E+00	0219.9951278	13.59584288
30.0384	19.6	3.88E+00	0918.12 	72.34033362	01.34E+00	0209.96 	110.8363108	04.03E+00	0230.0520479	109.5538216
28.608	19.6	1.63E+00	0646.46 	1168.214523	3.37E+00	 33.98 	21.9271159	1.01E+01	11.43376038	20.68833203
27.1776	19.6	03.48E+00	0173.18 	107.3746616	02.23E+00	0393.74 	31.87954811	06.70E+00	0412.0344121	30.87209663
25.7472	19.6	01.62E+01	0235.34 	0	8.56E001	031.13 	178.7481377	2.57E+00	052.97841853	176.876481
24.3168	19.6	01.01E+01	0249.84 	7.755975507	01.04E+00	0125.32 	101.7966187	03.13E+00	0146.2443802	100.5849556
22.8864	19.6	01.76E+01	0233.49 	0	02.82E+00	0173.56 	21.76011431	08.45E+00	0194.0147508	20.51470977
21.456	19.6	08.43E+00	0247.62 	35.5353621	3.67E+00	0287.88 	29.64254245	1.10E+01	0307.2149649	28.60316514
20.0256	19.6	04.37E+00	0173.98 	151.1126457	2.51E+00	0240.12 	19.07763681	7.53E+00	0259.9234952	17.7042413
18.5952	19.6	08.13E+00	0273.95 	41.98814489	03.64E+00	0481.46 	17.70576061	01.09E+01	0498.8950735	16.24686252
17.1648	19.6	6.74E+02	0455.33 	0	3.38E+00	0129.80 	0	1.02E+01	0150.6742141	0
15.7344	19.6	06.34E+00	0296.77 	73.20423861	01.03E+00	0239.58 	40.81844459	03.08E+00	0259.3847316	39.87821308
14.304	19.6	4.76E+00	0290.05 	18.24277834	1.36E+01	0240.12 	0	4.07E+01	0259.9234952	0
12.8736	19.6	01.28E+01	 63.34 	40.27032116	02.23E+01	0357.83 	0	06.70E+01	0376.476016	0
11.4432	19.6	8.76E+00	0934.71 	21.19876651	02.68E+00	0415.56 	21.18828286	08.03E+00	0433.6448179	19.9191444
10.0128	19.6	01.46E+01	0265.63 	0	01.60E+00	0523.53 	79.10848099	04.80E+00	0540.5594569	78.05676322
8.5824	19.6	03.52E+00	0114.16 	161.2394736	1.77E+00	0186.80 	77.76422092	5.32E+00	0207.1246645	76.72083802
7.152	19.6	01.93E+01	0257.85 	0	02.96E+00	0581.15 	25.92840752	08.87E+00	0597.6085335	24.8145568
5.7216	19.6	06.38E+00	0260.75 	45.47666113	4.24E+01	0320.10 	0	1.27E+02	0339.1217412	0
4.2912	19.6	01.24E+01	0213.14 	0	01.62E+00	0262.98 	63.49536052	04.86E+00	0282.5515655	62.52778333
2.8608	19.6	08.95E+00	0267.60 	0	2.80E+00	0253.24 	16.96171366	8.41E+00	0272.9735463	15.44890298
1.4304	19.6	02.20E+01	0206.91 	0	02.28E+03	0138.68 	0	06.85E+03	0159.4740192	0
214.56	17.3	06.65E+00	061.24 	21.67914097	05.88E+00	0214.79 	0	01.76E+01	0234.8410575	0
213.1296	17.3	7.44E+01	0303.06 	0	01.04E+00	0161.29 	85.97117305	03.12E+00	0181.862639	84.87454495
211.6992	17.3	03.72E+00	 2.84 	73.36615456	01.42E+00	0130.58 	98.92610867	04.27E+00	0151.4524281	97.7362602
210.2688	17.3	1.33E+00	0350.98 	38.51107747	3.23E+00	0331.59 	0	9.69E+00	0350.495639	0
208.8384	17.3	01.85E+00	0276.23 	135.1899712	8.08E+03	0305.29 	0	2.43E+04	0324.4553994	0
207.408	17.3	04.78E+00	0410.31 	18.68342873	05.19E+03	0282.99 	0	01.56E+04	0302.3660927	0
205.9776	17.3	06.14E+01	 544.88 	0	01.04E+00	0236.98 	8.608682049	03.13E+00	0256.810639	5.407172526
204.5472	17.3	5.50E+01	0286.47 	0	01.41E+00	0456.73 	108.4156708	04.24E+00	0474.411262	107.1524363
203.1168	17.3	01.66E+01	0162.14 	0	01.16E+00	0102.59 	87.75507467	03.46E+00	0123.7360351	86.64620039
201.6864	17.3	09.43E+00	0372.44 	0	04.43E+00	0158.21 	19.46584498	01.33E+01	0178.8096454	18.11385333
200.256	17.3	02.24E+00	0351.97 	199.1803028	1.04E+00	01,068.04 	45.00186496	3.12E+00	01079.742073	44.07156772
198.8256	17.3	09.11E+00	0291.77 	4.780927955	02.46E+00	0243.99 	26.67743934	07.38E+00	0263.7547029	25.58121149
197.3952	17.3	03.18E+00	0375.59 	72.15127377	2.04E+00	0350.51 	34.89125519	6.12E+00	0369.232639	33.91555034
195.9648	17.3	03.75E+00	0459.46 	66.3831905	3.19E+01	0214.37 	0	9.56E+01	0234.4818818	0
194.5344	17.3	03.76E+01	0333.96 	0	2.03E+00	0991.15 	67.01388943	6.09E+00	01003.596821	66.03016178
193.104	17.3	03.29E+00	0552.84 	45.33562055	03.06E+00	0158.15 	22.49112844	09.17E+00	0178.7497827	21.27373225
191.6736	17.3	01.02E+01	0172.99 	0	2.67E+00	 216.55 	15.05766156	8.00E+00	192.2188722	13.37494837
190.2432	17.3	06.92E+00	097.13 	53.79086901	02.51E+00	0327.00 	0	07.53E+00	0345.9460799	0
188.8128	17.3	01.79E+01	0336.36 	0	03.35E+00	0290.06 	8.242437828	01.01E+01	0309.3700192	4.815191507
187.3824	17.3	5.59E+00	0350.61 	50.57371316	04.58E+00	0333.59 	23.31062036	01.38E+01	0352.4711054	22.12182059
185.952	17.3	5.16E+00	0248.17 	65.51380454	08.97E001	0455.76 	131.8172325	02.69E+00	0473.4534601	130.3610224
184.5216	17.3	6.95E+00	01,127.01 	52.8500979	02.18E+01	0239.10 	0	06.55E+01	0258.9058307	0
183.0912	17.3	07.56E+00	 8.82 	26.5998692	02.33E+00	0419.31 	0	06.99E+00	0437.3563003	0
181.6608	17.3	9.28E+00	0239.60 	0	09.41E001	0253.48 	50.82507522	02.82E+00	0273.1531342	49.89446057
180.2304	17.3	03.82E+00	 303.80 	91.10225538	09.68E001	 523.65 	90.92574183	02.90E+00	496.3808435	89.79459493
178.8	17.3	01.52E+01	0595.95 	6.917563179	2.70E+00	0290.42 	1.144815715	8.11E+00	0309.7291949	0
177.3696	17.3	05.52E+01	0406.18 	0	03.44E+00	0220.60 	0	01.03E+01	0240.6477316	0
175.9392	17.3	01.37E+00	0172.68 	58.47118311	01.84E+00	0211.47 	21.86037787	05.52E+00	0231.5486134	20.6189645
174.5088	17.3	9.59E+00	0291.34 	11.89635184	1.29E+00	0136.20 	31.58365032	3.86E+00	0157.0196518	30.57242884
173.0784	17.3	3.50E+00	0243.36 	22.25663901	01.97E+00	 41.05 	64.29624348	05.90E+00	18.49754952	63.3251674
171.648	17.3	01.39E+01	053.78 	0	04.38E+00	0291.45 	0	01.31E+01	0310.7468594	0
170.2176	17.3	01.15E+00	0300.29 	120.6642565	01.68E+00	0307.23 	22.68884947	05.03E+00	0326.3710032	21.47861176
168.7872	17.3	01.96E+01	0750.19 	0	02.52E+00	0351.96 	22.59007393	07.55E+00	0370.6693419	21.37628136
167.3568	17.3	02.11E+00	0354.56 	40.2415896	1.32E+00	0785.54 	164.7270155	3.95E+00	0800.0040511	162.9820922
165.9264	17.3	04.94E+00	0264.39 	9.064217346	8.60E+00	0149.38 	0	2.58E+01	0170.0697029	0
164.496	17.3	05.41E+00	019.24 	84.54870634	4.47E+00	0386.30 	0	1.34E+01	0404.6713099	0
163.0656	17.3	07.68E+00	 3.33 	61.56358192	8.06E001	0227.55 	43.28018524	2.42E+00	0247.4720703	42.34701202
161.6352	17.3	04.21E+00	0326.13 	36.03462084	3.46E+01	0287.16 	0	1.04E+02	0306.4966134	0
160.2048	17.3	1.79E+00	 470.75 	4265.174737	2.19E+00	01,214.22 	86.54848638	6.55E+00	01224.549751	85.44791872
158.7744	17.3	3.84E+00	0830.24 	587.3424337	1.73E+00	0480.55 	97.75103792	5.19E+00	0497.9971342	96.57001285
157.344	17.3	2.17E+00	0187.12 	68.55326367	01.01E+00	0182.03 	84.31702859	03.02E+00	0202.3955176	83.23155809
155.9136	17.3	5.22E+00	0528.91 	50.3788655	02.66E+00	099.75 	35.44041644	07.97E+00	0120.922492	34.46934684
154.4832	17.3	09.54E+00	0297.08 	14.35616659	02.78E+00	0200.89 	17.6320957	08.34E+00	0221.072655	16.16811904
153.0528	17.3	2.78E+01	0309.91 	0	1.84E+00	0372.34 	49.29529863	5.51E+00	0390.8430447	48.36608217
151.6224	17.3	03.01E+01	0283.63 	0	1.28E+00	0596.14 	173.0172677	3.84E+00	0612.4544633	171.1976159
150.192	17.3	07.79E+00	0149.43 	46.18097501	4.41E+02	0213.64 	0	1.32E+03	0233.7036677	0
148.7616	17.3	7.09E+00	0291.34 	23.46056205	1.94E+00	0320.59 	0	5.81E+00	0339.6006422	0
147.3312	17.3	1.05E+01	0263.90 	10.18232594	5.08E+05	0291.15 	0	1.52E+06	0310.5074089	0
145.9008	17.3	1.14E+01	0232.14 	11.31306868	1.29E+00	0369.68 	59.47884479	3.86E+00	0388.2090895	58.52703729
144.4704	17.3	1.19E+01	0283.08 	19.58581926	4.44E+00	0317.75 	39.21092582	1.33E+01	0336.787099	38.26392994
143.04	17.3	2.02E+01	0252.74 	0	5.94E+09	02,670.80 	0	1.78E+10	02666.81985	0
141.6096	17.3	1.95E+01	0262.79 	37.05817818	6.10E+01	0287.70 	0	1.83E+02	0307.035377	0
140.1792	17.3	2.75E+01	0250.39 	16.34405444	9.21E+00	0312.19 	20.54131853	2.76E+01	0331.279738	19.24319289
138.7488	17.3	2.43E+01	0257.73 	27.10564895	1.07E+01	0321.19 	38.50225344	3.20E+01	0340.1992684	37.55166559
137.3184	17.3	4.24E+01	0250.95 	11.55864174	1.62E+01	0317.63 	11.13985074	4.84E+01	0336.6673738	8.845958987
135.888	17.3	3.59E+01	0251.19 	22.76126429	1.86E+01	0314.97 	21.01886184	5.57E+01	0334.0932812	19.74236012
134.4576	17.3	6.43E+01	0248.23 	9.122663223	2.36E+01	0316.84 	21.76011431	7.08E+01	0335.8891597	20.51470977
133.0272	17.3	7.53E+01	0244.41 	15.51030328	3.32E+01	0311.28 	17.37300432	9.97E+01	0330.4416613	15.89072572
131.5968	17.3	8.47E+01	0247.12 	13.93016765	4.29E+01	0300.52 	27.01850367	1.29E+02	0319.7262524	25.92981929
130.1664	17.3	8.37E+01	0239.85 	13.49580918	3.73E+01	0309.59 	13.9038384	1.12E+02	0328.7056454	12.08815583
128.736	17.3	8.54E+01	0237.93 	8.5852116	3.91E+01	0307.59 	13.52018077	1.17E+02	0326.7301789	11.65362436
127.3056	17.3	1.21E+02	0240.03 	18.46374912	6.51E+01	0306.56 	14.85564277	1.95E+02	0325.7125144	13.15157292
125.8752	17.3	1.00E+02	0239.04 	15.95009956	4.93E+01	0304.75 	16.16117262	1.48E+02	0323.9166358	14.58316574
124.4448	17.3	8.00E+01	0232.20 	17.11679656	3.85E+01	0299.67 	16.27685251	1.16E+02	0318.8881757	14.70877559
