,X,Y,Center,Peak,Width,RV,Sig
1116,111.303,2.0,6578.468000000001,931.5,1.0270000000000001,-198.68770554049257,15.64128273560323
1117,109.962,2.0,6578.495,1226.0,0.885,-197.4581894253028,11.96136364638015
1118,108.62100000000001,2.0,6578.479,1511.0,0.795,-198.18679156764358,9.300915946990882
1119,107.28,2.0,6578.401999999999,1249.0,0.883,-201.69318937779343,11.905936602202114
1120,105.939,2.0,6578.349,896.5,0.9440000000000001,-204.10668397430777,13.544225856495506
1121,104.598,2.0,6578.505999999999,883.5,1.026,-196.9572754524538,15.61671072960832
1122,103.257,2.0,6578.613,807.3,0.9,-192.08474862539424,12.37300794364067
1123,101.916,2.0,6578.6269999999995,346.3,0.937,-191.44722175086673,13.361137497003277
1124,100.575,2.0,6578.68,549.6,0.8140000000000001,-189.03372715426963,9.896681679300972
1125,99.234,2.0,6578.593000000001,835.4,0.7809999999999999,-192.99550130332028,8.846039730964288
1126,97.89299999999999,2.0,6578.61,1028.0,0.718,-192.22136152711425,6.551450168767085
1127,96.552,2.0,6578.647,1132.0,0.722,-190.5364690728993,6.713898987328161
1128,95.211,2.0,6578.6669999999995,941.2,0.723,-189.62571639497327,6.754039183666008
1129,93.87,2.0,6578.607,559.3,0.767,-192.35797442879277,8.375228716267506
1130,92.529,2.0,6578.645,314.8,0.723,-190.6275443406712,6.754039183666008
1131,91.18799999999999,2.0,6578.632,244.3,0.784,-191.2195335813749,8.944770524601838
1263,115.32600000000001,0.0,6578.661999999999,179.5,1.037,-189.85340456446517,15.886207697779573
1264,113.985,0.0,6578.604,312.7,0.81,-192.49458733047135,9.7731271597506
1265,112.64399999999999,0.0,6578.5740000000005,471.7,0.778,-193.86071634738113,8.746579462523824
1266,111.303,0.0,6578.562,597.0,0.79,-194.40716795417814,9.140138069802656
1267,109.962,0.0,6578.555,1090.0,0.77,-194.72593139144186,8.47758990828742
1268,108.62100000000001,0.0,6578.576999999999,1777.0,0.732,-193.72410344574394,7.107472643542335
1269,107.28,0.0,6578.595,1839.0,0.7240000000000001,-192.9044260355484,6.793997293207045
1270,105.939,0.0,6578.566,1480.0,0.752,-194.22501741859293,7.849846868553919
1271,104.598,0.0,6578.4490000000005,961.3,0.8079999999999999,-199.55292058455336,9.710991558498604
1272,103.257,0.0,6578.504,732.8,0.835,-197.0483507202257,10.530895709275987
1273,101.916,0.0,6578.5419999999995,860.4,0.852,-195.31792063214556,11.028562790298695
1274,100.575,0.0,6578.593000000001,544.1,0.7909999999999999,-192.99550130332028,9.172437525125165
1275,99.234,0.0,6578.682,335.0,0.75,-188.94265188649769,7.777932542441959
1276,97.89299999999999,0.0,6578.723000000001,455.3,0.737,-187.07560889665615,7.298225152768113
1277,96.552,0.0,6578.732,402.7,0.736,-186.66577019162048,7.260372531338872
1278,95.211,0.0,6578.759,392.4,0.73,-185.43625407638933,7.030095012167225
