,Y,X,RV,I,Sig
2597,40,54,10.780000000000001,2.8175000000000003,25.810000000000002
2598,40,55,11.687500000000002,3.6925,23.7175
2599,40,56,10.2725,5.442500000000001,21.302500000000002
2600,40,57,8.825,7.91,19.0925
2601,40,58,6.495,10.0825,18.197499999999998
2602,40,59,3.6224999999999996,11.8475,17.755
2603,40,60,1.7625,12.695,18.5175
2604,40,61,0.38749999999999996,12.5625,19.6025
2605,40,62,-0.8625,11.707500000000001,19.9925
2606,40,63,-2.67,10.497499999999999,19.5325
2607,40,64,-3.865,9.01,19.627499999999998
2608,40,65,-5.780000000000001,7.275,21.384999999999998
2609,40,66,-6.2700000000000005,5.9425,21.6425
2610,40,67,-5.515000000000001,4.85,21.3725
2611,40,68,-5.545,4.032500000000001,20.29
2612,40,69,-4.6625,3.34,20.4925
2645,41,25,-1.7225,3.2325,23.7025
2646,41,26,-0.38249999999999995,3.8825000000000003,22.32
2647,41,27,-0.1875,4.8975,20.92
2648,41,28,0.24749999999999997,5.7825,21.9925
2649,41,29,0.47000000000000003,6.255,22.5825
2650,41,30,1.0450000000000002,6.525,22.0925
2651,41,31,2.6025,6.279999999999999,23.275
2652,41,32,5.3775,6.3225,24.355
2653,41,33,6.3025,6.395,25.3575
2654,41,34,5.2749999999999995,6.987499999999999,24.010000000000005
2655,41,35,6.645,7.782500000000001,22.5675
2656,41,36,8.3675,7.5075,24.032500000000002
2657,41,37,9.545,6.595,27.3
2658,41,38,7.62,5.4225,31.5475
2659,41,39,5.53,4.82,33.73
2660,41,40,0.19499999999999995,4.775,32.9675
2661,41,41,-3.4225,5.215,30.015
2662,41,42,-7.555,5.7275,26.1025
2663,41,43,-6.2375,5.865,28.16
2664,41,44,-6.025,5.715,29.514999999999997
2665,41,45,-5.125,5.2625,30.7175
2666,41,46,-5.42,4.5625,32.3
2667,41,47,-2.7525,3.74,35.7775
2668,41,48,4.1674999999999995,3.0774999999999997,36.415
2669,41,49,12.13,2.7824999999999998,32.2675
2670,41,50,16.695,2.8725,27.395000000000003
2671,41,51,15.1525,2.9899999999999998,24.189999999999998
2672,41,53,10.715,3.01,24.1275
2673,41,54,10.09,3.5225,21.7475
2674,41,55,10.727500000000001,4.717499999999999,19.9025
2675,41,56,10.42,6.85,19.0225
2676,41,57,9.2025,9.317499999999999,18.7925
2677,41,58,6.255,11.2525,18.4025
2678,41,59,3.0,12.4575,17.5175
2679,41,60,1.4025,12.6175,17.6225
2680,41,61,-0.10499999999999998,11.685,19.735
2681,41,62,-1.3925,10.8875,20.2375
2682,41,63,-2.7125000000000004,10.1075,20.017500000000002
2683,41,64,-3.7874999999999996,9.002500000000001,19.82
2684,41,65,-6.9625,7.43,19.78
2685,41,66,-8.5975,5.9275,19.56
2686,41,67,-6.6425,4.8149999999999995,19.68
2687,41,68,-6.1875,3.895,19.689999999999998
2688,41,69,-5.17,3.2025,21.45
