Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
84	95.8368	19.6	1	604a1_779-333336.xlsx	4856.831	0	-0.242	0.131	66.74	105.4	-17.21	-18.08	4954.063	0.45	1.765	0.908	2.241	1.16	4.21	1.974	5002.693	0.45	1.765	0.908	6.722	3.48	12.63	5.923
85	94.4064	19.6	1	604a1_779-337340.xlsx	4857.201	0.174	0.812	0.269	18.98	5.322	16.4	4.572	4953.299	0	-0.065	0.046	9.718	14.63	-0.6744	-0.5953	5001.929	0	-0.065	0.046	29.15	43.89	-2.023	-1.786
86	92.976	19.6	1	604a1_779-341344.xlsx	4856.595	0.168	-0.446	0.196	18.93	5.609	-8.991	-4.438	4953.287	0.23	0.731	0.424	3.421	1.478	2.662	1.582	5001.917	0.23	0.731	0.424	10.26	4.433	7.985	4.746
87	91.5456	19.6	1	604a1_779-345348.xlsx	4857.18	0.099	-0.332	0.557	10.04	29.15	-3.546	-5.027	4950.972	0.411	1.179	0.925	2.248	1.684	2.822	1.733	4999.602	0.411	1.179	0.925	6.745	5.051	8.467	5.198
88	90.1152	19.6	1	604a1_779-349352.xlsx	4857.146	0.041	0.224	0.105	58.02	68.83	13.83	10.29	4953.184	0.312	1.493	0.579	2.897	1.17	4.602	1.866	5001.814	0.312	1.493	0.579	8.69	3.51	13.81	5.597
89	88.6848	19.6	1	604a1_779-353356.xlsx	4861.239	0.678	3.706	1.111	-6.654	2.167	-26.25	-8.758	4953.116	0.529	2.754	1.05	2.649	0.8899	7.767	2.585	5001.746	0.529	2.754	1.05	7.948	2.67	23.3	7.756
90	87.2544	19.6	1	604a1_779-357360.xlsx	4856.726	0.449	1.478	0.854	8.137	4.062	12.8	6.094	4955.443	0.427	1.068	0.893	-2.052	1.551	-2.333	-1.642	5004.073	0.427	1.068	0.893	-6.157	4.653	-6.999	-4.926
91	85.824	19.6	1	604a1_779-361364.xlsx	4857.031	0.103	-0.776	0.181	22.99	4.897	-18.98	-4.044	4953.847	0.063	0.713	0.184	8.51	1.806	6.463	1.284	5002.477	0.063	0.713	0.184	25.53	5.418	19.39	3.853
92	84.3936	19.6	1	604a1_779-365368.xlsx	4857.121	0.06	0.971	0.192	32.1	4.868	33.19	5.011	4953.918	0.073	0.877	0.179	8.777	1.525	8.195	1.414	5002.548	0.073	0.877	0.179	26.33	4.575	24.58	4.242
93	82.9632	19.6	1	604a1_779-369372.xlsx	4857.087	0.039	0.849	0.087	49.45	4.643	44.7	4.215	4953.971	0.075	0.989	0.181	9.302	1.414	9.797	1.515	5002.601	0.075	0.989	0.181	27.91	4.242	29.39	4.545
94	81.5328	19.6	1	604a1_779-373376.xlsx	4856.946	0.067	0.945	0.203	26.62	4.716	26.77	4.772	4954.042	0.119	-0.515	0.158	6.02	1.61	-3.298	-1.126	5002.671	0.119	-0.515	0.158	18.06	4.831	-9.894	-3.378
95	80.1024	19.6	1	604a1_779-377380.xlsx	4855.39	1.533	4.865	2.009	3.625	1.893	18.77	10.08	4955.554	0.319	1.04	0.602	2.322	1.435	2.57	1.533	5004.184	0.319	1.04	0.602	6.967	4.304	7.711	4.6
96	78.672	19.6	1	604a1_779-381384.xlsx	4858.394	30.747	-115.063	50.66	1.175	0.6781	-143.9	-121.1	4957.417	0.131	0.645	0.468	-4.331	2.708	-2.975	-1.285	5006.047	0.131	0.645	0.468	-12.99	8.123	-8.925	-3.854
97	77.2416	19.6	1	604a1_779-385388.xlsx	4858.481	2.314	7.568	4.094	-3.182	1.432	-25.63	-14.72	4957.064	0.014	0.211	0.126	-20.85	46.7	-4.673	-7.809	5005.694	0.014	0.211	0.126	-62.54	140.1	-14.02	-23.43
98	75.8112	19.6	1	604a1_779-389392.xlsx	4856.792	0.053	0.32	0	18.36	0	6.26	67.5	4956.587	0.836	2.455	1.547	-2.131	1.245	-5.568	-2.516	5005.217	0.836	2.455	1.547	-6.392	3.736	-16.71	-7.548
99	74.3808	19.6	1	604a1_779-393396.xlsx	4861.438	0.257	-0.482	0.243	-19.12	7.167	9.816	3.953	4961.772	0.132	0.419	0.323	-3.449	3.518	-1.538	-0.9958	5010.402	0.132	0.419	0.323	-10.35	10.55	-4.615	-2.987
100	72.9504	19.6	1	604a1_779-397400.xlsx	4859.211	0	0.288	0	30.44	0	9.332	54.92	4951.162	0.605	-2.936	1.008	-2.044	0.7621	6.388	2.4	4999.792	0.605	-2.936	1.008	-6.132	2.286	19.16	7.201
101	71.52	19.6	1	604a1_779-401404.xlsx	4856.275	0	0.133	0	40.84	0	5.784	36.24	4954.843	0.852	2.189	1.476	-1.792	1.273	-4.176	-2.383	5003.473	0.852	2.189	1.476	-5.377	3.82	-12.53	-7.149
102	70.0896	19.6	1	604a1_779-405408.xlsx	4857.857	0.004	0.073	0	71.81	0	5.568	17.43	4952.118	1.35	3.1	1.345	-0.8983	0.4758	-2.965	-1.997	5000.748	1.35	3.1	1.345	-2.695	1.427	-8.894	-5.992
103	68.6592	19.6	1	604a1_779-409412.xlsx	4845.332	0	0.823	0	6.763	4.096	5.928	4.363	4955.821	0.041	0.234	0.094	13.33	18.94	3.322	3.557	5004.451	0.041	0.234	0.094	40	56.82	9.966	10.67
104	67.2288	19.6	1	604a1_779-413416.xlsx	4857.95	0.46	2.071	0.578	8.781	2.91	19.35	6.533	4948.287	2.133	8.131	2.886	-1.012	0.428	-8.761	-4.199	4996.917	2.133	8.131	2.886	-3.037	1.284	-26.28	-12.6
