Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
34	155.556	22	1	595r1_878-133136.xlsx	6557.541	0.112	0.988	0.266	31.36	7.111	33	7.61	6540.883	0.522	1.88	0.907	3.917	1.627	7.838	3.4	6576.383	0.522	1.88	0.907	11.75	4.881	23.51	10.2	6712.025	0.161	1.358	0.275	14.46	3.928	20.89	5.295	6726.425	0.161	1.358	0.275	11.95	3.614	17.27	5.79
35	154.215	22	1	595r1_878-137140.xlsx	6557.634	0.085	1.064	0.228	36.76	6.321	41.63	7.472	6544.878	1.401	14.537	2.549	2.917	0.6383	45.14	12.45	6580.378	1.401	14.537	2.549	8.751	1.915	135.4	37.36	6709.335	0.736	2.566	1.617	4.817	3.134	13.16	7.947	6723.735	0.736	2.566	1.617	2.412	2.525	6.587	8.956
36	152.874	22	1	595r1_878-141144.xlsx	6557.458	0.196	1.19	0.365	20.12	6.511	25.5	8.305	6542.065	0.473	3.018	0.886	4.348	1.306	13.97	4.481	6577.565	0.473	3.018	0.886	13.05	3.918	41.91	13.44	6711.182	0.642	1.754	1.067	5.099	3.756	9.52	6.346	6725.582	0.642	1.754	1.067	-3.11	3.216	-5.806	-6.602
37	151.533	22	1	595r1_878-145148.xlsx	6557.398	0.198	1.61	0.396	23.75	5.547	40.72	9.926	6545.576	1.579	14.035	2.639	3.061	0.7317	45.74	13.46	6581.076	1.579	14.035	2.639	9.184	2.195	137.2	40.38	6711.688	1.071	6.877	2.05	5.557	1.66	40.68	14.04	6726.088	1.071	6.877	2.05	0.7818	1.263	5.724	9.541
38	150.192	22	1	595r1_878-149152.xlsx	6557.625	0.094	1.041	0.192	43.01	7.556	47.65	8.507	6541.887	0.585	2.897	1.308	4.011	1.502	12.37	5.138	6577.387	0.585	2.897	1.308	12.03	4.506	37.11	15.41	6711.525	0.061	0.467	0.221	8.993	5.766	4.471	3.249	6725.925	0.061	0.467	0.221	18.69	9.869	9.292	2.964
39	148.851	22	1	595r1_878-153156.xlsx	6557.762	0.067	1.017	0.159	57.64	7.454	62.38	8.245	6541.66	0.524	3.49	1.257	4.222	1.26	15.68	5.286	6577.16	0.524	3.49	1.257	12.67	3.781	47.05	15.86	6711.626	0.177	1.214	0.367	14.7	3.823	19	5.491	6726.026	0.177	1.214	0.367	3.996	4.101	5.165	4.884
40	147.51	22	1	595r1_878-157160.xlsx	6557.619	0.088	1.233	0.206	46.2	6.877	60.62	9.39	6544.17	1.623	12.904	2.976	3.088	0.8057	42.42	14.05	6579.67	1.623	12.904	2.976	9.265	2.417	127.3	42.15	6711.021	0.161	0.916	0.515	14.14	5.85	13.79	5.621	6725.42	0.161	0.916	0.515	5.54	4.682	5.404	4.871
41	146.169	22	1	595r1_878-161164.xlsx	6557.641	0.082	1.099	0.159	54.28	7.456	63.47	9.033	6542.693	1.284	12.974	2.46	3.754	0.8326	51.84	14.94	6578.193	1.284	12.974	2.46	11.26	2.498	155.5	44.83	6711.862	0.186	1.322	0.5	13.41	4.078	18.87	6.263	6726.262	0.186	1.322	0.5	5.435	3.56	7.65	4.816
42	144.828	22	1	595r1_878-165168.xlsx	6557.506	0.059	0.929	0.131	64.28	7.945	63.56	8.026	6542.979	0.528	3.482	1.499	4.229	1.398	15.68	5.809	6578.479	0.528	3.482	1.499	12.69	4.193	47.03	17.43	6711.35	0.183	1.619	0.378	14.57	3.465	25.11	6.192	6725.75	0.183	1.619	0.378	8.596	3.184	14.81	5.727
43	143.487	22	1	595r1_878-169172.xlsx	6557.729	0.047	0.933	0.103	74.58	7.535	74.06	7.608	6542.798	0.207	1.786	0.645	8.855	2.09	16.83	4.361	6578.298	0.207	1.786	0.645	26.57	6.269	50.5	13.08	6711.576	0.087	0.76	0.166	27.48	5.469	22.22	4.599	6725.976	0.087	0.76	0.166	3.846	4.964	3.109	3.914
