Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
13	183.717	0	9	595r9_895-049052.xlsx	6558.09	0.09	0.833	0.195	38.87	8.389	34.48	7.693	6545.288	1.261	13.818	2.276	4.032	0.7945	59.3	14.85	6580.788	1.261	13.818	2.276	12.09	2.383	177.9	44.56	6708.651	0.139	0.941	0.291	15.52	5.261	15.55	5.929	6723.051	0.139	0.941	0.291	14.91	5.739	14.94	5.321
14	182.376	0	9	595r9_895-053056.xlsx	6558.125	0.075	0.881	0.201	45.28	8.384	42.48	8.149	6545.565	1.029	14.46	1.989	4.883	0.7701	75.16	15.4	6581.065	1.029	14.46	1.989	14.65	2.31	225.5	46.21	6711.299	0.728	3.116	2.261	8.743	4.196	28.99	14.02	6725.699	0.728	3.116	2.261	2.361	4.14	7.83	17.71
15	181.035	0	9	595r9_895-057060.xlsx	6558.172	0.095	1.01	0.217	47.24	8.66	50.8	9.674	6545.322	1.222	15.043	2.202	4.705	0.8776	75.34	17.68	6580.822	1.222	15.043	2.202	14.12	2.633	226	53.05	6713.266	1.342	3.846	2.426	4.84	2.645	19.81	11.78	6727.666	1.342	3.846	2.426	1.206	1.664	4.939	8.351
16	179.694	0	9	595r9_895-061064.xlsx	6558.295	0.086	0.87	0.201	50.64	9.857	46.91	9.391	6542.285	0.734	5.637	3.088	4.575	1.366	27.45	12.24	6577.785	0.734	5.637	3.088	13.72	4.097	82.36	36.71	6711.915	0.076	-0.473	0.253	4.391	8.549	-2.209	-4.987	6726.314	0.076	-0.473	0.253	21.39	12.83	-10.76	-3.461
17	178.353	0	9	595r9_895-065068.xlsx	6558.154	0.072	0.81	0.187	51.99	9.732	44.8	8.556	6543.294	0.12	0.922	0.27	11.03	2.779	10.82	2.818	6578.794	0.12	0.922	0.27	33.08	8.336	32.47	8.453	6711.918	0.184	1.262	0.278	18.04	4.899	24.22	6.75	6726.318	0.184	1.262	0.278	4.898	5.272	6.578	6.895
18	177.012	0	9	595r9_895-069072.xlsx	6558.178	0.082	0.989	0.177	49.02	7.768	51.6	8.468	6546.133	1.233	15.422	2.23	4.336	0.7714	71.17	16.38	6581.633	1.233	15.422	2.23	13.01	2.314	213.5	49.15	6709.456	1.236	5.926	1.752	3.185	2.351	20.09	17.4	6723.855	1.236	5.926	1.752	5.502	2.385	34.7	14.77
19	175.671	0	9	595r9_895-073076.xlsx	6558.215	0.06	0.951	0.131	60.35	7.578	61.08	7.913	6545.216	1.215	16.051	2.021	4.447	0.7559	75.99	16.16	6580.716	1.215	16.051	2.021	13.34	2.268	228	48.48	6711.989	0.119	0.735	0.267	18.95	5.83	14.82	5.47	6726.389	0.119	0.735	0.267	-8.087	6.252	-6.326	-4.076
20	174.33	0	9	595r9_895-077080.xlsx	6558.197	0.12	0.994	0.243	36.34	8.13	38.45	8.845	6545.738	1.584	14.214	2.648	3.528	0.8373	53.38	15.58	6581.238	1.584	14.214	2.648	10.58	2.512	160.1	46.75	6711.944	0.103	0.768	0.249	12.94	5.406	10.57	4.381	6726.344	0.103	0.768	0.249	21.77	5.977	17.79	5.043
21	172.989	0	9	595r9_895-081084.xlsx	6562.757	0.203	3.421	0.472	-30.76	3.675	-112	-14.62	6542.005	0.887	2.629	2.903	3.641	2.351	10.19	6.526	6577.505	0.887	2.629	2.903	10.92	7.052	30.57	19.58	6712.199	0.783	4.509	1.65	7.41	2.277	35.57	14.17	6726.599	0.783	4.509	1.65	3.684	2.641	17.68	11.75
22	171.648	0	9	595r9_895-085088.xlsx	6558.248	0.097	1.019	0.155	40.03	6.997	43.41	7.715	6542.848	0.555	4.444	1.934	4.813	1.307	22.77	7.928	6578.348	0.555	4.444	1.934	14.44	3.922	68.3	23.78	6718.095	0.084	0.651	0.366	-26.32	9.957	-18.25	-6.25	6732.495	0.084	0.651	0.366	4.678	6.244	3.244	4.716
23	170.307	0	9	595r9_895-089092.xlsx	6558.256	0.06	1.11	0.132	62.56	6.883	73.91	8.4	6544.686	1.104	13.801	2.22	4.352	0.757	63.94	14.7	6580.186	1.104	13.801	2.22	13.06	2.271	191.8	44.09	6712.47	0.175	1.184	0.283	17.49	4.526	22.03	5.827	6726.87	0.175	1.184	0.283	-2.107	3.399	-2.654	-4.267
24	168.966	0	9	595r9_895-093096.xlsx	6558.322	0.064	0.918	0.126	66.97	8.154	65.47	8.217	6544.637	1.052	12.808	2.258	4.319	0.8225	58.88	14.59	6580.137	1.052	12.808	2.258	12.96	2.468	176.6	43.78	6712.002	0.109	0.903	0.189	21.57	4.709	20.74	4.514	6726.402	0.109	0.903	0.189	2.239	4.431	2.153	4.357
25	167.625	0	9	595r9_895-097100.xlsx	6558.227	0.06	1.016	0.134	68.21	7.824	73.78	8.668	6543.031	0.653	3.106	2.181	4.815	1.963	15.92	7.443	6578.531	0.653	3.106	2.181	14.45	5.889	47.76	22.33	6712.215	0.097	0.895	0.228	22.83	5.171	21.75	5.303	6726.615	0.097	0.895	0.228	10.07	4.85	9.587	4.348
26	166.284	0	9	595r9_895-101104.xlsx	6558.232	0.044	0.936	0.118	73.81	7.859	73.57	8.111	6544.146	1.131	14.031	2.101	4.353	0.7688	65.02	14.77	6579.646	1.131	14.031	2.101	13.06	2.306	195	44.3	6709.184	0.664	2.403	0.901	-2.19	3.01	-5.603	-8.271	6723.584	0.664	2.403	0.901	-6.934	3.34	-17.74	-8.473
27	164.943	0	9	595r9_895-105108.xlsx	6558.268	0.035	0.889	0.089	95.02	8.297	89.92	8.103	6546.551	1.315	15.101	2.278	4.12	0.7861	66.23	15.93	6582.051	1.315	15.101	2.278	12.36	2.358	198.7	47.79	6708.112	0.089	0.534	0.253	15.09	7.858	8.574	3.963	6722.512	0.089	0.534	0.253	-16.71	7.603	-9.492	-4.142
28	163.602	0	9	595r9_895-109112.xlsx	6558.296	0.039	0.912	0.088	85.03	7.412	82.58	7.33	6543	0.227	2.035	0.828	8.639	2.085	18.71	5.133	6578.5	0.227	2.035	0.828	25.92	6.256	56.14	15.4	6712.638	0.356	2.836	0.799	6.639	3.282	20.04	8.851	6727.038	0.356	2.836	0.799	12	3.085	36.24	11.33
29	162.261	0	9	595r9_895-113116.xlsx	6558.276	0.034	0.871	0.092	93.48	8.397	86.64	8.039	6545.914	1.177	15.305	1.896	4.674	0.7844	76.15	15.72	6581.414	1.177	15.305	1.896	14.02	2.353	228.4	47.17	6712.336	0.134	0.82	0.284	17.8	6.221	15.53	4.78	6726.736	0.134	0.82	0.284	9.727	4.927	8.488	5.215
30	160.92	0	9	595r9_895-117120.xlsx	6558.306	0.034	0.875	0.075	115.3	8.433	107.5	7.982	6543.431	0.11	1.077	0.408	11.59	2.868	13.29	3.506	6578.931	0.11	1.077	0.408	34.78	8.604	39.86	10.52	6712.434	0.078	0.679	0.135	22.16	5.13	16.03	4.005	6726.833	0.078	0.679	0.135	15.5	5.199	11.21	3.609
31	159.579	0	9	595r9_895-121124.xlsx	6558.303	0.035	0.918	0.083	97.71	8.068	95.49	8.037	6542.898	0.406	3.65	1.406	5.766	1.468	22.4	6.804	6578.398	0.406	3.65	1.406	17.3	4.403	67.2	20.41	6712.096	0.135	1.112	0.26	16.71	4.582	19.77	5.299	6726.496	0.135	1.112	0.26	11.55	4.225	13.67	5.304
32	158.238	0	9	595r9_895-125128.xlsx	6558.346	0.046	1.082	0.098	80.74	6.891	93.01	8.091	6542.764	0.309	3.044	0.782	6.646	1.375	21.53	4.976	6578.264	0.309	3.044	0.782	19.94	4.124	64.6	14.93	6712.154	0.085	0.705	0.321	21.97	7.875	16.5	5.476	6726.554	0.085	0.705	0.321	18.97	6.663	14.24	5.778
33	156.897	0	9	595r9_895-129132.xlsx	6558.351	0.034	0.966	0.088	103.5	8.07	106.4	8.497	6543.202	0.374	4.173	1.283	6.699	1.369	29.76	7.376	6578.702	0.374	4.173	1.283	20.1	4.107	89.27	22.13	6712.487	0.901	7.466	2.029	5.491	2.265	43.64	19.07	6726.887	0.901	7.466	2.029	8.801	2.186	69.94	22.76
34	155.556	0	9	595r9_895-133136.xlsx	6558.322	0.034	0.999	0.081	109.7	7.91	116.7	8.588	6543.046	0.398	3.54	0.882	5.869	1.324	22.11	5.512	6578.546	0.398	3.54	0.882	17.61	3.972	66.34	16.54	6712.314	0.156	1.471	0.27	21.19	4.364	33.18	6.887	6726.714	0.156	1.471	0.27	9.286	4.001	14.54	6.479
35	154.215	0	9	595r9_895-137140.xlsx	6558.354	0.045	1.168	0.107	90.54	7.145	112.6	9.259	6544.903	0.969	14.021	1.96	5.33	0.7954	79.55	15.74	6580.403	0.969	14.021	1.96	15.99	2.386	238.6	47.23	6712.098	0.087	0.734	0.227	12.61	5.249	9.848	4.494	6726.498	0.087	0.734	0.227	23.34	6.283	18.23	4.806
36	152.874	0	9	595r9_895-141144.xlsx	6558.358	0.067	1.115	0.137	61.13	7.195	72.57	8.691	6543.446	0.239	1.855	0.548	7.371	1.849	14.56	3.868	6578.946	0.239	1.855	0.548	22.11	5.546	43.67	11.61	6709.916	0.804	1.561	1.004	-4.928	5.007	-8.188	-6.605	6724.315	0.804	1.561	1.004	-2.709	4.806	-4.5	-9.642
37	151.533	0	9	595r9_895-145148.xlsx	6558.368	0.068	1.241	0.168	66.31	7.264	87.61	10.14	6543.979	1.062	13.108	2.668	4.671	0.8208	65.18	16.82	6579.479	1.062	13.108	2.668	14.01	2.462	195.5	50.46	6711.781	0.225	1.511	0.383	12.19	3.909	19.61	6.052	6726.181	0.225	1.511	0.383	7.6	3.439	12.23	6.147
38	150.192	0	9	595r9_895-149152.xlsx	6558.248	0.057	1.156	0.122	78.17	7.317	96.2	9.351	6545.976	1.421	14.195	2.447	3.66	0.7993	55.31	15.03	6581.476	1.421	14.195	2.447	10.98	2.398	165.9	45.1	6712.607	0.037	-0.251	0.097	55.16	60.11	-14.74	-10.95	6727.007	0.037	-0.251	0.097	44.41	24.63	-11.87	-4.454
39	148.851	0	9	595r9_895-153156.xlsx	6558.448	0.034	1.066	0.077	110.7	6.968	125.6	8.063	6543.569	0.103	1.158	0.344	11.69	2.421	14.41	3.127	6579.069	0.103	1.158	0.344	35.08	7.264	43.22	9.381	6712.27	0.084	1.031	0.194	22.51	4.223	24.7	4.809	6726.67	0.084	1.031	0.194	13.91	3.998	15.27	4.364
40	147.51	0	9	595r9_895-157160.xlsx	6558.493	0.032	1.054	0.075	122.2	7.727	137.1	8.987	6544.372	1.251	12.01	2.719	4.173	0.8191	53.35	15.05	6579.872	1.251	12.01	2.719	12.52	2.457	160	45.16	6712.234	0.51	4.327	1.064	8.79	2.44	40.49	12.5	6726.634	0.51	4.327	1.064	6.909	2.386	31.83	11.68
41	146.169	0	9	595r9_895-161164.xlsx	6558.493	0.054	1.25	0.108	94.74	7.514	126	10.21	6543.804	0.122	1.193	0.379	13.27	2.888	16.85	3.869	6579.304	0.122	1.193	0.379	39.81	8.663	50.56	11.61	6708.404	0.429	3.299	0.763	-11.75	2.743	-41.26	-10.16	6722.804	0.429	3.299	0.763	-1.67	2.415	-5.865	-8.833
42	144.828	0	9	595r9_895-165168.xlsx	6558.482	0.066	1.411	0.16	80.13	7.437	120.3	11.81	6544.811	0.942	12.395	2.518	5.8	0.9084	76.52	18.17	6580.311	0.942	12.395	2.518	17.4	2.725	229.6	54.5	6712.436	0.131	1.527	0.379	21.26	4.035	34.56	6.795	6726.835	0.131	1.527	0.379	2.703	2.751	4.395	4.672
43	143.487	0	9	595r9_895-169172.xlsx	6558.423	0.05	1.151	0.111	88.56	7.442	108.5	9.318	6543.508	0.232	1.174	0.823	7.71	3.22	9.636	4.315	6579.008	0.232	1.174	0.823	23.13	9.661	28.91	12.94	6712.286	0.108	1.391	0.259	21.26	3.776	31.48	6.027	6726.686	0.108	1.391	0.259	14.6	3.662	21.61	5.343
44	142.146	0	9	595r9_895-173176.xlsx	6558.211	0.041	1.081	0.092	100.3	7.323	115.3	8.74	6545.552	0.965	14.12	1.943	5.202	0.771	78.18	15.32	6581.052	0.965	14.12	1.943	15.61	2.313	234.6	45.96	6717.113	9.175	-129.802	0	17.24	0	-2383	0	6731.513	9.175	-129.802	0	13.95	0	-1928	0
45	140.805	0	9	595r9_895-177180.xlsx	6558.275	0.054	1.176	0.123	80.21	7.021	100.4	9.218	6544.321	1.004	12.647	2.49	4.289	0.7799	57.74	14.82	6579.821	1.004	12.647	2.49	12.87	2.34	173.2	44.47	6712.245	0.12	0.997	0.279	14.14	4.573	15.01	4.758	6726.645	0.12	0.997	0.279	14.68	4.428	15.58	4.988
46	139.464	0	9	595r9_895-181184.xlsx	6558.214	0.057	1.16	0.125	81.42	7.635	100.6	9.676	6542.922	0.46	3.667	1.238	5.453	1.443	21.29	6.306	6578.422	0.46	3.667	1.238	16.36	4.328	63.87	18.92	6711.932	0.105	0.936	0.343	19.19	4.815	19.11	6.32	6726.332	0.105	0.936	0.343	13.06	5.71	13.01	4.295
47	138.123	0	9	595r9_895-185188.xlsx	6558.277	0.034	1.022	0.082	109.6	7.691	119.3	8.585	6543.381	0.308	3.956	1.151	8.29	1.472	34.91	7.664	6578.881	0.308	3.956	1.151	24.87	4.415	104.7	22.99	6712.337	0.052	0.655	0.127	28.33	5.93	19.75	4.746	6726.737	0.052	0.655	0.127	28.69	6.777	20	4.181
48	136.782	0	9	595r9_895-189192.xlsx	6558.241	0.031	1.017	0.089	131	9.147	141.8	10.18	6543.274	0.332	3.062	1.247	7.696	1.896	25.08	7.518	6578.774	0.332	3.062	1.247	23.09	5.688	75.24	22.55	6712.224	0.053	0.858	0.117	43.89	5.692	40.06	5.129	6726.624	0.053	0.858	0.117	18.53	4.875	16.92	4.685
49	135.441	0	9	595r9_895-193196.xlsx	6558.27	0.027	1.005	0.077	135.1	8.618	144.4	9.45	6543.021	0.243	2.613	0.909	10.33	2.114	28.73	6.937	6578.521	0.243	2.613	0.909	30.99	6.343	86.17	20.81	6712.252	0.058	0.77	0.138	31.81	5.402	26.08	4.705	6726.652	0.058	0.77	0.138	22.77	5.325	18.67	4.183
50	134.1	0	9	595r9_895-197200.xlsx	6558.342	0.026	1.04	0.071	135	7.837	149.5	8.857	6543.438	0.124	1.356	0.368	11.9	2.345	17.18	3.613	6578.938	0.124	1.356	0.368	35.71	7.036	51.54	10.84	6712.525	0.067	0.908	0.177	33.94	6.16	32.81	5.508	6726.925	0.067	0.908	0.177	21.85	5.045	21.12	5.657
51	132.759	0	9	595r9_895-201204.xlsx	6558.289	0.03	1.008	0.077	120.7	7.905	129.5	8.654	6543.452	0.109	1.242	0.391	13.32	2.743	17.6	3.826	6578.952	0.109	1.242	0.391	39.96	8.228	52.81	11.48	6710.884	0.834	7.227	1.659	4.436	2.139	34.12	15.86	6725.284	0.834	7.227	1.659	8.797	2.037	67.68	19.88
52	131.418	0	9	595r9_895-205208.xlsx	6558.285	0.03	0.994	0.063	148.3	8.266	156.9	8.897	6543.503	0.082	0.955	0.181	15.22	2.634	15.47	2.738	6579.003	0.082	0.955	0.181	45.66	7.902	46.41	8.214	6710.157	0.1	0.139	0.218	299.5	7.644	44.22	69.57	6724.557	0.1	0.139	0.218	19.43	79.29	2.868	7.651
53	130.077	0	9	595r9_895-209212.xlsx	6558.303	0.02	0.818	0.061	165.3	10.05	144	8.868	6543.329	0.109	1.196	0.271	13.81	2.576	17.58	3.42	6578.829	0.109	1.196	0.271	41.43	7.727	52.73	10.26	6712.221	0.112	1.149	0.207	26.94	5.149	32.96	6.452	6726.621	0.112	1.149	0.207	10.74	4.804	13.14	5.877
54	128.736	0	9	595r9_895-213216.xlsx	6558.346	0.027	0.944	0.06	150.7	8.464	151.4	8.65	6543.283	0.102	1.356	0.328	15.1	2.563	21.8	3.892	6578.783	0.102	1.356	0.328	45.29	7.689	65.39	11.68	6703.663	0.419	2.383	1.02	0.1849	4.067	0.469	10.34	6718.063	0.419	2.383	1.02	-14.99	4.734	-38.02	-12.36
55	127.395	0	9	595r9_895-217220.xlsx	6558.297	0.026	0.913	0.063	148.6	8.613	144.4	8.515	6543.46	0.083	0.893	0.25	14.25	2.932	13.55	2.937	6578.96	0.083	0.893	0.25	42.76	8.796	40.65	8.811	6709.531	1.458	2.153	2.992	-2.664	3.567	-6.106	-9.414	6723.931	1.458	2.153	2.992	-5.561	5.506	-12.75	-11.4
56	126.054	0	9	595r9_895-221224.xlsx	6558.234	0.03	0.902	0.078	200.9	14.65	192.8	14.38	6542.558	0.507	4.323	1.298	8.753	2.132	40.28	11.4	6578.058	0.507	4.323	1.298	26.26	6.396	120.8	34.21	6712.37	0.074	0.762	0.152	32.65	7.01	26.5	5.842	6726.77	0.074	0.762	0.152	22.76	6.745	18.47	5.478
57	124.713	0	9	595r9_895-225228.xlsx	6558.262	0.018	0.946	0.05	211.2	9.011	212.6	9.315	6543.347	0.306	4.264	0.957	9.015	1.408	40.92	7.69	6578.847	0.306	4.264	0.957	27.04	4.224	122.8	23.07	6712.452	0.05	0.83	0.111	43.47	5.575	38.4	4.885	6726.852	0.05	0.83	0.111	17.39	4.779	15.37	4.413
58	123.372	0	9	595r9_895-229232.xlsx	6558.25	0.016	0.999	0.045	269.4	9.924	286.5	10.77	6543.466	0.068	1.031	0.193	22.07	3.182	24.21	3.624	6578.966	0.068	1.031	0.193	66.2	9.547	72.63	10.87	6712.412	0.038	0.751	0.079	54.34	6.141	43.46	4.718	6726.812	0.038	0.751	0.079	29.06	5.358	23.24	4.67
59	122.031	0	9	595r9_895-233236.xlsx	6558.262	0.012	0.942	0.035	330	10.06	330.8	10.27	6543.407	0.049	0.763	0.125	26.84	3.563	21.8	2.981	6578.907	0.049	0.763	0.125	80.51	10.69	65.4	8.944	6712.369	0.043	0.879	0.098	50.74	5.878	47.5	5.559	6726.769	0.043	0.879	0.098	35.04	5.467	32.8	5.258
60	120.69	0	9	595r9_895-237240.xlsx	6558.194	0.012	1.033	0.033	341.6	8.888	375.6	9.976	6543.418	0.054	0.897	0.15	24.45	3.136	23.34	3.087	6578.918	0.054	0.897	0.15	73.36	9.407	70.01	9.26	6712.332	0.034	0.558	0.083	50.54	7.037	30	4.621	6726.732	0.034	0.558	0.083	36.74	7.443	21.81	3.998
61	119.349	0	9	595r9_895-241244.xlsx	6558.166	0.01	1.106	0.027	456.7	9.397	537.7	11.31	6543.472	0.075	1.306	0.231	23.98	3.019	33.33	4.438	6578.972	0.075	1.306	0.231	71.95	9.056	100	13.32	6712.312	0.054	0.986	0.122	44.15	5.432	46.35	5.696	6726.711	0.054	0.986	0.122	26.12	4.867	27.42	5.353
62	118.008	0	9	595r9_895-245248.xlsx	6558.102	0.007	1.131	0.018	638.7	8.752	769	10.76	6543.347	0.039	1.081	0.104	38.97	2.957	44.85	3.532	6578.847	0.039	1.081	0.104	116.9	8.871	134.5	10.6	6712.359	0.051	1.014	0.154	50.31	5.763	54.28	6.65	6726.759	0.051	1.014	0.154	26.31	5.046	28.39	5.34
63	116.667	0	9	595r9_895-249252.xlsx	6558	0.007	1.233	0.018	719.9	9.144	944.9	12.27	6543.222	0.042	1.298	0.111	43.92	2.962	60.66	4.279	6578.722	0.042	1.298	0.111	131.8	8.887	182	12.84	6712.274	0.036	0.913	0.1	54.08	5.501	52.56	5.562	6726.674	0.036	0.913	0.1	42.82	5.289	41.62	5.178
64	115.326	0	9	595r9_895-253256.xlsx	6557.931	0.005	1.078	0.011	1024	8.645	1175	10.11	6543.162	0.024	1.037	0.061	59.82	2.867	66.05	3.274	6578.662	0.024	1.037	0.061	179.5	8.6	198.1	9.821	6712.101	0.027	0.87	0.063	82.92	5.685	76.83	5.272	6726.5	0.027	0.87	0.063	53.36	5.08	49.44	4.935
65	113.985	0	9	595r9_895-257260.xlsx	6557.899	0.002	0.902	0.006	1863	11.14	1790	10.87	6543.104	0.014	0.81	0.033	104.2	3.663	89.85	3.241	6578.604	0.014	0.81	0.033	312.7	10.99	269.6	9.722	6712.054	0.014	0.816	0.032	139	5.658	120.7	5.018	6726.454	0.014	0.816	0.032	96.19	5.323	83.52	4.69
66	112.644	0	9	595r9_895-261264.xlsx	6557.892	0.002	0.875	0.006	2250	12.29	2095	11.62	6543.074	0.01	0.778	0.023	157.2	4.04	130.2	3.439	6578.574	0.01	0.778	0.023	471.7	12.12	390.6	10.32	6712.014	0.01	0.799	0.028	197.1	6.697	167.7	5.827	6726.414	0.01	0.799	0.028	135.4	6.258	115.2	5.415
67	111.303	0	9	595r9_895-265268.xlsx	6557.883	0.002	0.904	0.006	2402	12.74	2311	12.46	6543.062	0.008	0.79	0.019	199	4.234	167.3	3.653	6578.562	0.008	0.79	0.019	597	12.7	501.8	10.96	6712.028	0.008	0.746	0.017	251.4	5.701	199.7	4.631	6726.428	0.008	0.746	0.017	173	5.328	137.4	4.325
68	109.962	0	9	595r9_895-269272.xlsx	6557.91	0.002	0.897	0.005	3590	16.43	3430	15.94	6543.055	0.006	0.77	0.013	363.4	5.505	297.7	4.633	6578.555	0.006	0.77	0.013	1090	16.52	893.1	13.9	6711.971	0.006	0.772	0.014	378	6.85	310.6	5.773	6726.371	0.006	0.772	0.014	275.7	6.523	226.5	5.404
69	108.621	0	9	595r9_895-273276.xlsx	6557.927	0.001	0.858	0.004	5657	21.04	5166	19.47	6543.077	0.004	0.732	0.01	592.4	6.962	461.7	5.602	6578.577	0.004	0.732	0.01	1777	20.89	1385	16.81	6711.983	0.004	0.776	0.009	650.1	7.967	536.6	6.69	6726.383	0.004	0.776	0.009	460.5	7.491	380.1	6.301
70	107.28	0	9	595r9_895-277280.xlsx	6557.957	0.001	-0.847	0.004	6033	22.4	-5439	-20.45	6543.095	0.005	0.724	0.01	613.1	7.396	472.5	5.901	6578.595	0.005	0.724	0.01	1839	22.19	1418	17.7	6711.995	0.004	0.753	0.01	673.3	9.562	539.4	7.827	6726.395	0.004	0.753	0.01	485.3	9.051	388.8	7.372
71	105.939	0	9	595r9_895-281284.xlsx	6557.947	0.001	-0.868	0.004	4908	19.29	-4536	-18.07	6543.066	0.005	0.752	0.011	493.3	6.379	394.7	5.255	6578.566	0.005	0.752	0.011	1480	19.14	1184	15.76	6711.963	0.004	0.787	0.011	591.5	8.391	495.3	7.179	6726.363	0.004	0.787	0.011	410	7.888	343.3	6.688
72	104.598	0	9	595r9_895-285288.xlsx	6557.789	0.002	0.931	0.005	3939	18.58	3904	18.73	6542.949	0.008	0.808	0.019	320.4	6.344	275.5	5.565	6578.449	0.008	0.808	0.019	961.3	19.03	826.5	16.69	6711.885	0.005	0.814	0.011	394.4	5.626	341.7	4.977	6726.285	0.005	0.814	0.011	324.1	5.433	280.8	4.766
73	103.257	0	9	595r9_895-289292.xlsx	6557.764	0.002	1.021	0.004	3789	12.62	4118	13.96	6543.004	0.007	0.835	0.018	244.3	4.44	217.2	4.047	6578.504	0.007	0.835	0.018	732.8	13.32	651.7	12.14	6711.939	0.009	0.867	0.017	286.9	5.498	264.8	5.198	6726.339	0.009	0.867	0.017	203.9	5.163	188.1	4.834
74	101.916	0	9	595r9_895-293296.xlsx	6557.808	0.002	1.041	0.003	4385	12.11	4860	13.67	6543.042	0.006	0.852	0.015	286.8	4.283	260	3.988	6578.542	0.006	0.852	0.015	860.4	12.85	779.9	11.96	6711.968	0.008	0.858	0.016	348.7	6.553	318.6	6.086	6726.368	0.008	0.858	0.016	254.3	6.14	232.4	5.748
75	100.575	0	9	595r9_895-297300.xlsx	6557.891	0.002	1.011	0.004	2656	9.689	2859	10.62	6543.093	0.007	0.791	0.017	181.4	3.441	152.7	2.979	6578.593	0.007	0.791	0.017	544.1	10.32	458	8.936	6712.043	0.008	0.805	0.023	218.6	6.227	187.3	5.501	6726.443	0.008	0.805	0.023	168.2	5.986	144.2	5.174
76	99.234	0	9	595r9_895-301304.xlsx	6558.019	0.003	0.922	0.007	1401	9.628	1375	9.602	6543.182	0.011	0.75	0.027	111.7	3.39	89.11	2.769	6578.682	0.011	0.75	0.027	335	10.17	267.3	8.307	6712.104	0.011	0.793	0.028	158.5	5.408	133.7	4.731	6726.504	0.011	0.793	0.028	104.5	5.097	88.22	4.294
77	97.893	0	9	595r9_895-305308.xlsx	6558.077	0.002	0.892	0.006	1739	9.47	1650	9.135	6543.223	0.008	0.737	0.02	151.8	3.381	119	2.685	6578.723	0.008	0.737	0.02	455.3	10.14	356.9	8.055	6712.125	0.011	0.759	0.023	216	6.361	174.6	5.22	6726.524	0.011	0.759	0.023	152.6	5.922	123.3	4.892
78	96.552	0	9	595r9_895-309312.xlsx	6558.078	0.003	0.871	0.007	1511	9.745	1402	9.182	6543.232	0.009	0.736	0.023	134.2	3.44	105.2	2.729	6578.732	0.009	0.736	0.023	402.7	10.32	315.6	8.187	6712.175	0.014	0.753	0.029	171.6	6.316	137.6	4.967	6726.575	0.014	0.753	0.029	106.4	5.549	85.32	4.692
79	95.211	0	9	595r9_895-313316.xlsx	6558.088	0.003	0.892	0.007	1320	8.818	1253	8.507	6543.259	0.008	0.73	0.022	130.8	3.215	101.6	2.515	6578.759	0.008	0.73	0.022	392.4	9.645	304.8	7.546	6712.154	0.01	0.709	0.023	203.4	6.382	153.4	4.783	6726.554	0.01	0.709	0.023	131.9	5.734	99.49	4.476
80	93.87	0	9	595r9_895-317320.xlsx	6558.066	0.007	0.968	0.014	692.6	8.58	713.9	8.994	6543.261	0.019	0.811	0.049	61.61	3.056	53.18	2.696	6578.761	0.019	0.811	0.049	184.8	9.167	159.5	8.088	6712.16	0.022	0.794	0.046	96.95	5.542	81.96	4.702	6726.56	0.022	0.794	0.046	65.96	5.079	55.76	4.432
81	92.529	0	9	595r9_895-321324.xlsx	6558.036	0.009	0.962	0.019	495.1	8.425	506.8	8.772	6543.219	0.038	0.913	0.11	31.98	2.921	31.09	2.929	6578.719	0.038	0.913	0.11	95.95	8.762	93.28	8.787	6712.135	0.032	0.875	0.076	63.86	5.275	59.49	5.134	6726.535	0.032	0.875	0.076	38.17	4.944	35.56	4.545
82	91.188	0	9	595r9_895-325328.xlsx	6558.045	0.011	0.978	0.022	427.3	8.42	444.8	8.916	6543.221	0.032	0.825	0.079	36.15	2.927	31.73	2.629	6578.721	0.032	0.825	0.079	108.4	8.78	95.2	7.886	6712.213	0.043	0.969	0.109	46.74	5.117	48.21	5.352	6726.613	0.043	0.969	0.109	35.79	4.79	36.92	5.117
83	89.847	0	9	595r9_895-329332.xlsx	6558.073	0.01	0.963	0.02	451.1	7.855	462.3	8.19	6543.218	0.03	0.886	0.076	37.09	2.632	34.98	2.55	6578.718	0.03	0.886	0.076	111.3	7.895	104.9	7.651	6712.214	0.027	0.766	0.061	62.88	5.116	51.3	4.546	6726.614	0.027	0.766	0.061	53.03	5.334	43.27	4.077
84	88.506	0	9	595r9_895-333336.xlsx	6558.065	0.009	1.038	0.026	381.3	8.042	421.2	9.051	6543.238	0.044	0.965	0.114	28.62	2.711	29.4	2.874	6578.738	0.044	0.965	0.114	85.85	8.134	88.2	8.623	6712.128	0.046	0.892	0.101	58.45	6.244	55.5	5.831	6726.528	0.046	0.892	0.101	33.24	5.424	31.56	5.494
85	87.165	0	9	595r9_895-337340.xlsx	6558.062	0.014	1.114	0.034	291.6	7.582	345.7	9.18	6543.305	0.061	1.196	0.169	22.14	2.424	28.19	3.224	6578.805	0.061	1.196	0.169	66.41	7.273	84.57	9.672	6712.037	0.067	1.076	0.148	32.62	4.671	37.35	5.785	6726.437	0.067	1.076	0.148	22.06	4.685	25.26	5.126
